filename,basename,genre_selfascription,genre
muellner-die-schuld.xml,muellner-die-schuld,Trauerspiel in vier Akten,Trauerspiel
sachs-das-kaelberbrueten.xml,sachs-das-kaelberbrueten,Ein Fastnachtsspiel,
hofmannsthal-oedipus-und-die-sphinx.xml,hofmannsthal-oedipus-und-die-sphinx,Tragödie in drei Aufzügen,Tragödie
rosenow-die-im-schatten-leben.xml,rosenow-die-im-schatten-leben,Drama in vier Akten,
herzenskron-hoang-puff.xml,herzenskron-hoang-puff,"Posse in einem Acte, nach dem Französischen der Herren Caignéz und Louis
          frey bearbeitet",
haffner-die-fledermaus.xml,haffner-die-fledermaus,Operette in drei Aufzügen,
wildenbruch-die-quitzows.xml,wildenbruch-die-quitzows,Schauspiel in vier Akten,
stavenhagen-mudder-mews.xml,stavenhagen-mudder-mews,Niederdeutsches Drama in 5 Akten,
ayrer-fassnachtspil-wie-einem-weib-jhr-eygener-mann.xml,ayrer-fassnachtspil-wie-einem-weib-jhr-eygener-mann,"Mit 14 Personen, vnd hat 5 Actus",
hauptmann-vor-sonnenaufgang.xml,hauptmann-vor-sonnenaufgang,Soziales Drama,
baeuerle-doktor-fausts-mantel.xml,baeuerle-doktor-fausts-mantel,Ein Zauberspiel mit Gesang in zwey Acten,
riese-martha.xml,riese-martha,Romantisch-Komische Oper in vier Aufzügen,
neuber-ein-deutsches-vorspiel.xml,neuber-ein-deutsches-vorspiel,,
sorge-der-sieg-des-christos.xml,sorge-der-sieg-des-christos,Eine Vision dargestellt in dramatischen Bildern,
scheerbart-der-schornsteinfeger.xml,scheerbart-der-schornsteinfeger,Constantinopolitanische Offizierstragödie,Tragödie
schnitzler-anatol.xml,schnitzler-anatol,,
martini-rhynsolt-und-sapphira.xml,martini-rhynsolt-und-sapphira,Ein prosaisches Trauerspiel in drey Handlungen,Trauerspiel
scheerbart-okurirasuna.xml,scheerbart-okurirasuna,Grosse Weltkomödie in fünf Akten,Komödie
guenderode-magie-und-schicksal.xml,guenderode-magie-und-schicksal,Drama in drei Akten,
widmann-der-widerspenstigen-zaehmung.xml,widmann-der-widerspenstigen-zaehmung,Komische Oper in vier Akten,
stramm-kraefte.xml,stramm-kraefte,,
klabund-der-kreidekreis.xml,klabund-der-kreidekreis,Spiel in fünf Akten nach dem Chinesischen,
holz-sozialaristokraten.xml,holz-sozialaristokraten,Komödie,Komödie
goethe-satyros.xml,goethe-satyros,Drama,
hofmannsthal-die-frau-ohne-schatten.xml,hofmannsthal-die-frau-ohne-schatten,Oper in drei Akten,
kotzebue-pagenstreiche.xml,kotzebue-pagenstreiche,Eine Posse in fünf Aufzügen,
kotzebue-der-hyperboreische-esel.xml,kotzebue-der-hyperboreische-esel,"Ein drastisches Drama und philosophisches Lustspiel für Jünglinge / In
          einem Aufzuge",Lustspiel
klopstock-der-tod-abels.xml,klopstock-der-tod-abels,Ein Trauerspiel,Trauerspiel
schnitzler-die-frau-mit-dem-dolche.xml,schnitzler-die-frau-mit-dem-dolche,Schauspiel in einem Akt,
hebbel-trauerspiel-in-sizilien.xml,hebbel-trauerspiel-in-sizilien,Tragikomödie in einem Akt,Tragikomödie
uhland-ludwig-der-bayer.xml,uhland-ludwig-der-bayer,Schauspiel in fünf Aufzügen,
klinger-prinz-seiden-wurm-der-reformator.xml,klinger-prinz-seiden-wurm-der-reformator,Ein moralisches Drama aus dem fünften Theil des Orpheus,
kotzebue-der-wirrwarr.xml,kotzebue-der-wirrwarr,Eine Posse in fünf Akten,
holtei-die-kalkbrenner.xml,holtei-die-kalkbrenner,Liederposse in einem Akt,
pfeffel-vorspiel-ueber-die-buergerliche-tragoedie.xml,pfeffel-vorspiel-ueber-die-buergerliche-tragoedie,,
ertler-belian-und-marpalye.xml,ertler-belian-und-marpalye,Ein Traumspiel,
klopstock-hermanns-schlacht.xml,klopstock-hermanns-schlacht,Ein Bardiet für die Schaubühne,
anonym-die-verhandelte-braut.xml,anonym-die-verhandelte-braut,Ein Lustspiel in einem Aufzuge,Lustspiel
rambach-die-kuhpocken.xml,rambach-die-kuhpocken,Ein Familiengemälde in einem Akt,
wedekind-musik.xml,wedekind-musik,Sittengemälde in vier Bildern,
reuter-graf-ehrenfried.xml,reuter-graf-ehrenfried,"in einem Lustspiele vorgestellet und mit Ihr: königl. Majestät in Polen
          etc. etc. und kurfürstl. Durchl. zu Sachsen etc. etc. allergnädigsten Spezial-Bewilligung
          und Freiheit zum Druck befördert",Lustspiel
kotzebue-ueble-laune.xml,kotzebue-ueble-laune,Ein Schauspiel in vier Akten,
wette-haensel-und-gretel.xml,wette-haensel-und-gretel,Märchenspiel in drei Bildern,
tieck-ritter-blaubart.xml,tieck-ritter-blaubart,Ein Ammenmärchen in vier Akten,
hofmannsthal-das-salzburger-grosse-welttheater.xml,hofmannsthal-das-salzburger-grosse-welttheater,,
bunge-der-trompeter-von-saekkingen.xml,bunge-der-trompeter-von-saekkingen,"Oper in 3 Akten, nebst einem Vorspiel",
grabbe-herzog-theodor-von-gothland.xml,grabbe-herzog-theodor-von-gothland,Eine Tragödie in fünf Akten,Tragödie
sonnleithner-fidelio.xml,sonnleithner-fidelio,Oper in zwei Aufzügen,
chezy-der-neue-narziss.xml,chezy-der-neue-narziss,Lustspiel in einem Aufzug,Lustspiel
birch-pfeiffer-in-der-heimath.xml,birch-pfeiffer-in-der-heimath,Original-Schauspiel in fünf Acten,
kleist-prinz-friedrich-von-homburg.xml,kleist-prinz-friedrich-von-homburg,Ein Schauspiel,
wedekind-franziska.xml,wedekind-franziska,Ein modernes Mysterium in fünf Akten,
chlumberg-wunder-um-verdun.xml,chlumberg-wunder-um-verdun,Dreizehn Bilder,
wedekind-der-kammersaenger.xml,wedekind-der-kammersaenger,,
bleibtreu-weltgericht.xml,bleibtreu-weltgericht,Tragödie in 2 Theilen und 5 Akten,Tragödie
herzl-der-fluechtling.xml,herzl-der-fluechtling,Lustspiel in einem Aufzug,Lustspiel
braun-mutter-maria.xml,braun-mutter-maria,Eine Tragödie in fünf Akten,Tragödie
gutzkow-das-urbild-des-tartueffe.xml,gutzkow-das-urbild-des-tartueffe,Lustspiel in fünf Aufzügen,Lustspiel
grillparzer-weh-dem-der-luegt.xml,grillparzer-weh-dem-der-luegt,Lustspiel in fünf Aufzügen,Lustspiel
reuter-l-honnete-femme-oder-die-ehrliche-frau-zu-plissine.xml,reuter-l-honnete-femme-oder-die-ehrliche-frau-zu-plissine,"in einem Lustspiele vorgestellet und aus dem Französischen übersetzet von
          Hilario",Lustspiel
engel-der-edelknabe.xml,engel-der-edelknabe,Ein Lustspiel für Kinder in einem Aufzuge,Lustspiel
lessing-der-schatz.xml,lessing-der-schatz,Ein Lustspiel in einem Aufzuge,Lustspiel
ludwig-der-erbfoerster.xml,ludwig-der-erbfoerster,Trauerspiel in fünf Aufzügen,Trauerspiel
sudermann-die-ehre.xml,sudermann-die-ehre,Schauspiel in vier Akten,
stramm-die-haidebraut.xml,stramm-die-haidebraut,,
schnitzler-der-tapfere-cassian.xml,schnitzler-der-tapfere-cassian,Puppenspiel in einem Akt,
wagner-tristan-und-isolde.xml,wagner-tristan-und-isolde,,
hippel-der-mann-nach-der-uhr.xml,hippel-der-mann-nach-der-uhr,Lustspiel in einem Aufzuge,Lustspiel
wieland-klementina-von-porretta.xml,wieland-klementina-von-porretta,Ein Drama aus Richardsons Geschichte Sir Karl Grandisons gezogen,
hauptmann-carl-frau-nadja-bielew.xml,hauptmann-carl-frau-nadja-bielew,Tragischer Akt,
eichendorff-das-incognito.xml,eichendorff-das-incognito,Ein Puppenspiel,
kotzebue-der-weibliche-jacobiner-clubb.xml,kotzebue-der-weibliche-jacobiner-clubb,Ein politisches Lustspiel in Einem Aufzug,Lustspiel
schrader-der-hohlweg.xml,schrader-der-hohlweg,Lustspiel in einem Akt,Lustspiel
wagner-die-walkuere.xml,wagner-die-walkuere,,
grillparzer-medea.xml,grillparzer-medea,Trauerspiel in fünf Aufzügen,Trauerspiel
heine-almansor.xml,heine-almansor,Eine Tragödie,Tragödie
ebner-eschenbach-bettelbriefe.xml,ebner-eschenbach-bettelbriefe,Ein Zweigespräch,
larronge-mein-leopold.xml,larronge-mein-leopold,Volksstück in 3 Akten,
brandes-ariadne-auf-naxos.xml,brandes-ariadne-auf-naxos,Ein Duodrama mit Musick,
nestroy-das-maedl-aus-der-vorstadt.xml,nestroy-das-maedl-aus-der-vorstadt,Posse in drei Aufzügen,
laube-monaldeschi.xml,laube-monaldeschi,Tragödie in fünf Akten,Tragödie
schiller-kabale-und-liebe.xml,schiller-kabale-und-liebe,Ein bürgerliches Trauerspiel in fünf Aufzügen,Trauerspiel
nestroy-einen-jux-will-er-sich-machen.xml,nestroy-einen-jux-will-er-sich-machen,Posse mit Gesang in vier Aufzügen,
adolph-am-ersten-mai.xml,adolph-am-ersten-mai,Eine Tragikomödie der Arbeit aus Friedenstagen,Tragikomödie
kupelwieser-fierrabras.xml,kupelwieser-fierrabras,Heroisch-romantische Oper in drei Akten,
