filename,genre_selfascription,genre
ayrer-comedia-von-der-schoenen-sidea.xml,Mit 16 Personen vnd hat 5 Actus,
tieck-die-theegesellschaft.xml,Lustspiel in Einem Aufzuge,Lustspiel
gryphius-cardenio-und-celinde.xml,Trauerspiel,Trauerspiel
ebner-eschenbach-ohne-liebe.xml,Lustspiel in einem Akt,Lustspiel
schnitzer-der-zigeunerbaron.xml,Operette in 3 Acten,
dovsky-mona-lisa.xml,Oper in zwei Akten,
birch-pfeiffer-pfeffer-roesel.xml,Schauspiel in fünf Aufzügen,
lenz-pandaemonium-germanicum.xml,Eine Skizze,
bleibtreu-ein-faust-der-that.xml,Tragödie in fünf Akten,Tragödie
heyne-der-stammbaum.xml,Erste Fortsetzung der beyden Billets,
scheerbart-es-lebe-europa.xml,Eine Kapitalisten-Tragödie in fünf Akten,Tragödie
dauthendey-die-spielereien-einer-kaiserin.xml,"Drama in vier Akten, einem Vorspiel und einem Epilog",
kafka-der-gruftwaechter.xml,,
schiller-maria-stuart.xml,Ein Trauerspiel,Trauerspiel
tieck-prinz-zerbino.xml,Ein deutsches Lustspiel in sechs Akten,Lustspiel
klinger-die-neue-arria.xml,Ein Schauspiel,
devrient-hans-heiling.xml,Romantische Oper in drei Aufzügen und einem Vorspiel,
ebner-eschenbach-doctor-ritter.xml,Dramatisches Gedicht in 1 Aufzuge,
bierbaum-stella-und-antonie.xml,Schauspiel in vier Aufzügen,
hebbel-demetrius.xml,,
bauernfeld-industrie-und-herz.xml,Lustspiel in vier Aufzügen,Lustspiel
andre-cremeri-die-leiden-des-jungen-werthers.xml,"Ein Trauerspiel in drey Aufzügen, fürs deutsche Theater. ganz aus dem
          Original gezogen",Trauerspiel
wedekind-tod-und-teufel.xml,Drei Szenen,
thoma-lottchens-geburtstag.xml,Lustspiel in einem Akt,Lustspiel
thoma-die-medaille.xml,Komödie in einem Akt,Komödie
bauernfeld-grossjaehrig.xml,Lustspiel in zwei Aufzügen,Lustspiel
schlosser-die-maskerade.xml,Ein Lustspiel in einem Akt,Lustspiel
